Epoch,Step,Train Loss,Train Recon,Train KL,Train β-KL,Train SupCon,Val Loss,Val Recon,Val KL,Val β-KL,Val SupCon
9,114000,4.445,0.9671,26.307999999999996,0.6577,3.7603,4.3318,0.8596,26.2111,0.6553,3.7559
9,116000,4.4435,0.9662,26.323999999999998,0.6581,3.759,4.3302,0.8546,26.365,0.6591,3.7553
9,118000,4.4421,0.9641,26.356,0.6589,3.7587,4.3352,0.8615,26.299,0.6575,3.7551
9,120000,4.4421,0.9641,26.347999999999995,0.6587,3.759,4.3288,0.8552,26.2749,0.6569,3.7557
10,122000,4.4386,0.9617,26.364,0.6591,3.7571,4.3289,0.8499,26.4875,0.6622,3.7558
10,124000,4.4399,0.9592,26.38,0.6595,3.7616,4.3277,0.854,26.2886,0.6572,3.7554
10,126000,4.4344,0.9568,26.419999999999998,0.6605,3.7562,4.3254,0.8467,26.5122,0.6628,3.7546
10,128000,4.4336,0.9557,26.436,0.6609,3.7561,4.3259,0.8489,26.4578,0.6614,3.7541
10,130000,4.4347,0.9548,26.432000000000002,0.6608,3.7589,4.3222,0.8428,26.5158,0.6629,3.7554
10,132000,4.4333,0.9532,26.456,0.6614,3.7583,4.3232,0.8455,26.455,0.6614,3.7552
11,134000,4.4321,0.9512,26.472,0.6618,3.7587,4.3222,0.8471,26.3505,0.6588,3.7551
11,136000,4.4325,0.9507,26.48,0.662,3.7599,4.3181,0.8408,26.4567,0.6614,3.7545
11,138000,4.4273,0.9483,26.491999999999997,0.6623,3.7556,4.321,0.842,26.5474,0.6637,3.7538
11,140000,4.4274,0.9463,26.511999999999997,0.6628,3.7578,4.3182,0.8364,26.625,0.6656,3.7549
11,142000,4.4259,0.9455,26.528,0.6632,3.7563,4.3205,0.8383,26.6496,0.6662,3.7546
11,144000,4.4257,0.9442,26.543999999999997,0.6636,3.7573,4.3218,0.835,26.8235,0.6706,3.755
11,146000,4.4239,0.9417,26.572,0.6643,3.7572,4.3165,0.8302,26.8352,0.6709,3.7539
12,148000,4.4232,0.9405,26.575999999999997,0.6644,3.7577,4.3162,0.8367,26.5554,0.6639,3.7541
12,150000,4.421,0.9381,26.596,0.6649,3.7573,4.313,0.8331,26.5719,0.6643,3.7541
12,152000,4.4221,0.9374,26.612,0.6653,3.7591,4.3138,0.8312,26.6672,0.6667,3.7547
12,154000,4.4208,0.9377,26.612,0.6653,3.757,4.3126,0.8331,26.579,0.6645,3.7534
12,156000,4.4192,0.936,26.627999999999997,0.6657,3.7566,4.3136,0.8371,26.4392,0.661,3.754
12,158000,4.4165,0.9344,26.656,0.6664,3.7543,4.3144,0.831,26.7092,0.6677,3.7541
12,160000,4.4153,0.9319,26.648,0.6662,3.7562,4.3104,0.8276,26.6951,0.6674,3.754
13,162000,4.4168,0.931,26.684,0.6671,3.7583,4.3104,0.8265,26.7509,0.6688,3.7536
13,164000,4.4148,0.9291,26.688,0.6672,3.758,4.3111,0.829,26.6721,0.6668,3.7537
13,166000,4.415,0.9298,26.692,0.6673,3.7573,4.308,0.8282,26.5869,0.6647,3.7535
13,168000,4.414,0.9272,26.72,0.668,3.7583,4.3061,0.8202,26.8249,0.6706,3.7537
13,170000,4.4125,0.9263,26.743999999999996,0.6686,3.7568,4.3067,0.8228,26.7406,0.6685,3.7539
13,172000,4.4107,0.9252,26.743999999999996,0.6686,3.756,4.3075,0.8207,26.8754,0.6719,3.7533
13,174000,4.408,0.923,26.768,0.6692,3.7543,4.3116,0.8214,26.9833,0.6746,3.7541
